ticker,nombre,tipo,cantidad,precio_compra,precio_manual
AAPL,Apple Inc.,cedear,4,24470.00,
AMZN,Amazon.Com Inc,cedear,20,2218.00,
ARM,Arm Holdings Plc,cedear,2,19175.00,
AVGO,Broadcom Inc.,cedear,1,14720.00,
BB37D,Bono Pcia Bs As Regs N,bono,100,107998.23,
CARP,Fideicomiso Financiero Ri,otro,22,119174.00,
COME,Sociedad Comercial Del Plata,accion,33,46.21,
GOOGL,Alphabet Inc. Cl,cedear,12,10027.50,
INTC,Intel Corporation,cedear,3,31640.00,
JD,Jd.Com Inc.,cedear,8,10472.50,
MA,Mastercard Inc.,cedear,2,23165.00,
MCD,Mcdonald's Corporation,cedear,9,17672.22,
ORLY,O'reilly Automotive,cedear,29,635.78,
PAMP,Pampa Energia,accion,4,4245.62,
PBR,Petroleo Brasileiro,cedear,4,18240.00,
SNDK,Sandisk Corporation,cedear,1,14890.00,
TEFO,Telefonica S.A.,cedear,5,740.90,
V,Visa Inc,cedear,3,32520.00,
